Filename:	d:\clemens 2016\lme_0_11.drdd 						
Operator ID:	 						
Sample ID:	LME_0_11 						
Comment: 	Isothermal 180C 4h 						
Serial Number:	587P2203 						
Data Collected:	10/10/16 15:01						
Sample Weight:	14.400 mg 						
Display Weight:	14.400						
Validation 							
Validated:	No 						
By:	 						
Date:	 						
Calibration Information 							
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\default.drdc 						
Heat flow unit: mW/s     						
Initial Conditions 							
Temperature:	 30.00 °C 						
Y Initial:	20.00 mW 						
Sample Rate:	Standard 						
Baseline Filename:	D:\foostrum\FiberCore baseline.drdd 						
End Condition:	Go To Load 						
Total Points in Run:	14490						
Method Steps: 							
Pre-Run Actions 							
Start the Run 							
	Action occurs Immediately 						
Switch the Gas to Nitrogen at 20.0 ml/min  							
	Action occurs Immediately 						
1)	Heat from 30.00°C to 180.00°C at 100.00°C/min 						
 							
2)	Hold for 240.0 min at 180.00°C 						
 							
1) Sapphire DSC Temperature Scan 							
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow      
	          	Heat Flow 	Heat Flow     	Temperature	Temperature	Gas Flow     	Calibration 
	0.000000	-1.601.652	0.000000	31.666.667	35.596.279	0.000000	1.480.999
	0.016667	-1.541.978	0.000000	31.666.667	35.608.078	0.000000	1.480.999
	0.033333	-1.481.104	0.000000	33.333.333	35.618.061	0.000000	1.480.999
	0.050000	-1.429.834	0.000000	35.000.000	35.627.441	0.000000	1.480.999
	0.066667	-1.375.740	0.000000	36.666.667	35.637.123	0.000000	1.480.999
	0.083333	-1.325.812	0.000000	38.333.333	35.647.110	0.000000	1.480.999
	0.100000	-1.259.712	0.000000	40.000.000	35.658.604	0.000000	1.480.999
	0.116667	-1.177.793	0.000000	41.666.667	35.676.758	0.000000	1.480.999
	0.133333	-1.054.138	0.000000	43.333.333	35.704.895	0.000000	1.480.999
	0.150000	-0.906826	0.000000	45.000.000	35.747.253	0.000000	1.480.999
	0.166667	-0.725334	0.000000	46.666.667	35.810.791	0.000000	1.480.999
	0.183333	-0.492360	0.000000	48.333.333	35.898.834	0.000000	1.480.999
	0.200000	-0.254442	0.000000	50.000.000	36.018.948	0.000000	1.480.999
	0.216667	0.028036	0.000000	51.666.667	36.171.738	0.000000	1.480.999
	0.233333	0.295755	0.000000	53.333.333	36.366.280	0.000000	1.480.999
	0.250000	0.591227	0.000000	55.000.000	36.599.247	0.000000	1.480.999
	0.266667	0.857675	0.000000	56.666.667	36.886.673	0.000000	1.480.999
	0.283333	1.110.351	0.000000	58.333.333	37.218.273	0.000000	1.480.999
	0.300000	1.327.507	0.000000	60.000.000	37.600.399	0.000000	1.480.999
	0.316667	1.547.204	0.000000	61.666.667	38.027.607	0.000000	1.480.999
	0.333333	1.717.750	0.000000	63.333.333	38.504.128	0.000000	1.480.999
	0.350000	1.853.693	0.000000	65.000.000	39.026.642	0.000000	1.480.999
	0.366667	1.957.927	0.000000	66.666.667	39.593.929	0.000000	1.480.999
	0.383333	2.008.561	0.000000	68.333.333	40.218.403	0.000000	1.480.999
	0.400000	2.013.081	0.000000	70.000.000	40.886.745	0.000000	1.480.999
	0.416667	1.970.215	0.000000	71.666.667	41.614.086	0.000000	1.480.999
	0.433333	1.868.664	0.000000	73.333.333	42.382.877	0.000000	1.480.999
	0.450000	1.727.284	0.000000	75.000.000	43.209.454	0.000000	1.480.999
	0.466667	1.515.072	0.000000	76.666.667	44.075.970	0.000000	1.480.999
	0.483333	1.272.423	0.000000	78.333.333	44.995.434	0.000000	1.480.999
	0.500000	0.952658	0.000000	80.000.000	45.952.137	0.000000	1.480.999
	0.516667	0.614249	0.000000	81.666.667	46.949.326	0.000000	1.480.999
	0.533333	0.231985	0.000000	83.333.333	47.993.958	0.000000	1.480.999
	0.550000	-0.213907	0.000000	85.000.000	49.068.314	0.000000	1.480.999
	0.566667	-0.669332	0.000000	86.666.667	50.187.263	0.000000	1.480.999
	0.583333	-1.224.755	0.000000	88.333.333	51.332.405	0.000000	1.480.999
	0.600000	-1.768.879	0.000000	90.000.000	52.526.333	0.000000	1.480.999
	0.616667	-2.403.960	0.000000	91.666.667	53.742.546	0.000000	1.480.999
	0.633333	-3.012.842	0.000000	93.333.333	55.007.038	0.000000	1.480.999
	0.650000	-3.717.060	0.000000	95.000.000	56.296.040	0.000000	1.480.999
	0.666667	-4.383.497	0.000000	96.666.667	57.623.890	0.000000	1.480.999
	0.683333	-5.070.414	0.000000	98.333.333	58.978.043	0.000000	1.480.999
	0.700000	-5.850.548	0.000000	100.000.000	60.353.115	0.000000	1.480.999
	0.716667	-6.576.164	0.000000	101.666.667	61.763.168	0.000000	1.480.999
	0.733333	-7.390.902	0.000000	103.333.333	63.182.976	0.000000	1.480.999
	0.750000	-8.142.576	0.000000	105.000.000	64.639.091	0.000000	1.480.999
	0.766667	-8.976.876	0.000000	106.666.667	66.094.589	0.000000	1.480.999
	0.783333	-9.740.485	0.000000	108.333.333	67.586.044	0.000000	1.480.999
	0.800000	-10.581.846	0.000000	110.000.000	69.079.239	0.000000	1.480.999
	0.816667	-11.350.470	0.000000	111.666.667	70.602.699	0.000000	1.480.999
	0.833333	-12.190.843	0.000000	113.333.333	72.130.035	0.000000	1.480.999
	0.850000	-12.952.616	0.000000	115.000.000	73.674.332	0.000000	1.480.999
	0.866667	-13.707.398	0.000000	116.666.667	75.232.002	0.000000	1.480.999
	0.883333	-14.531.246	0.000000	118.333.333	76.789.383	0.000000	1.480.999
	0.900000	-15.270.490	0.000000	120.000.000	78.373.199	0.000000	1.480.999
	0.916667	-16.070.610	0.000000	121.666.667	79.950.020	0.000000	1.480.999
	0.933333	-16.779.137	0.000000	123.333.333	81.547.928	0.000000	1.480.999
	0.950000	-17.546.983	0.000000	125.000.000	83.138.718	0.000000	1.480.999
	0.966667	-18.230.580	0.000000	126.666.667	84.756.607	0.000000	1.480.999
	0.983333	-18.965.306	0.000000	128.333.333	86.361.702	0.000000	1.480.999
	1.000.000	-19.614.865	0.000000	130.000.000	87.983.719	0.000000	1.480.999
	1.016.667	-20.247.969	0.000000	131.666.667	89.601.875	0.000000	1.480.999
	1.033.333	-20.920.479	0.000000	133.333.333	91.222.115	0.000000	1.480.999
	1.050.000	-21.510.152	0.000000	135.000.000	92.850.365	0.000000	1.480.999
	1.066.667	-22.133.158	0.000000	136.666.667	94.471.497	0.000000	1.480.999
	1.083.333	-22.677.635	0.000000	138.333.333	96.106.583	0.000000	1.480.999
